# Me and Mr. Robot: Tracking the Actor Behind the MAN1 Crypter,,,
md5,sha256,description,date
95914f3cb47e2d200408456abc2fc277,2f727271a04b60eef3eb471ecb5749d7864dd5c8cff10e8e5d637c4ef0cd96a0,Chanitor,7/12/16
63cc107d6f4464eb311324f950386b9f,6a6cca89ce2ef9ec3ca0e75cb3fdbe6306de26f58769f2778dca5da7252d50cd,Chanitor,7/12/16
db36c2f4db086a7f8e483187289e1c93,e7316bdbaa7ff60a6e5d3c7c4318f16ff03d5a4a057c1df8762f00c9a639aaea,Chanitor,7/12/16
f5efd86c80538e104503c309e458efa9,19fa1229a2d499bb3f9222098c0baf2715b8ec947efa4e2be1d6e0ae68d951e2,Chanitor,7/12/16
e3b6acf4ccd7f0257d201977bb600e04,f10864d34853f26d07413a85dbc2465d22444f3707c2be8bb60b44f60540301b,Vawtrak,7/12/16
feb49bde382fec4c821e4e608d0134f5,78ed04d3c7f9357e8dea729f407c1c6d547a13a03ccd85330a47cd36fb762f36,Vawtrak,7/12/16
6d046ea72343a1e49c8f3932ea7f6c75,c7135bf76f8ce70417faff22ffbdeee73ec7618697ddedacc8b7f4c4260eef26,Vawtrak,7/12/16
7fc75215d5502cdd1ff5413d2a882331,37da1b3c4bc438ae16f4657443a8c8871a721db5e4f03b254911914d67cd1a91,Vawtrak,7/12/16
77561141a0f15ff56c70995c4f1ddc98,9e96dc22b22a3955bc1cb0052c92c25a35f31e971a6d08f41cb29d838f5a5041,Vawtrak,7/12/16
5238cd34caae600b3f592e2595aa6949,5439d7e7b2fafb0a2a8c22e2a345a1134ca3704c0336d1d5ec9754e3fcfcfbdd,Vawtrak,7/12/16
6fad86a0fcc912f32474f6c7a86fe37a,8fb75ad8428718a693ac2726a83a09d397eacdf800a376191a75da8ecbfe56b0,Vawtrak,7/12/16
fb4d250b6a733ce4f5c583e9ebb667bc,b5936f6bd4fa013af7beecc80f1b5f3370a7a8f66c03ab7590a5e90a6a836e47,Vawtrak,7/12/16
1a03b0020ead9bbf5d03761cddb929fa,657e3b6b45f51a7cdc95a77405ca318f944c4bec43c1fb72f34a485ae6acfe4c,Vawtrak,7/12/16
2e2e21875ad473bd71ff3d32b405ada3,045fe029968deee2d6dd47be6ca7d5e085fda41293c2eb9d91fbdb451c8b446e,Vawtrak,7/12/16
0ad71b4f28064748b22f3853ec544402,0c6cf003659dbc4d9e3eb1a20be922d60b4dea3653080d9a333e67ed6817570d,Vawtrak,7/12/16
f5efd86c80538e104503c309e458efa9,19fa1229a2d499bb3f9222098c0baf2715b8ec947efa4e2be1d6e0ae68d951e2,Pony,7/12/16
4ed1786f75251376f23bc0df2cd98fff,9ea6bea66ef05211c0aced22a30a85405c9e27561a69c5c657cfac5d9983ecb5,Pony,7/12/16
c1bfbfe0db4a74611e32cc7f49cc9383,d650e12ea3bb05457a6f4780c13c3797510c53db21aecc71a036a1b073d7ec9f,Pony,7/12/16
379c67ae879872d3fa0b601892c59605,6a40ed9dbb0f4bd430d76c10750448669c2bcca9aea6c6e8743f7526c8ffd93f,Pony,7/12/16
8c62d43ee165859603c532beecdbadde,fec402d83ee5d29707c749b9c2b74fe438e39f53f3ca464180335448e0fcb9ce,Pony,7/12/16
be1f62fcbe151ad251a3a8d1d0d8b5e3,af4e39342cf41588931d2690f1f163ece46be0193784d2c323291d5cef24a153,Pony,7/12/16
121cc78adcf9097b51813fbdbe0f4872,18232a7ce4e181bf11cd98b1298406e185ada00ee2b21ce40fcfa155f892e289,Pony,7/12/16
cd445e52eb7d2ca7359a8513157dd0a9,aa6f1f2db2afd7f37f1b2133881bdbc0fdd7515cbde8749bf21d1fcabe372982,Pony,7/12/16
5e49ae017af49f89b2d7cc986677a266,60004a4b3f9171fd469b2744a9334034dd9c9fecab81cc884a8b0441027aa778,Pony,7/12/16
0f7fd85685e7835fee897f2ab36652ac,cb865615130cb42dfa2cf65769500487b5c550fa92470114afa5132997175756,Pony,7/12/16
896908f5cb3c8e045eb45c367f7cfdd6,fe48d03c07eb6f64b8fec49dc59f3b023c36701399165d553b3c32cbbf30030c,Pony,7/12/16
b6226b00ea36f50d855e8c6da147b5c1,18bcbd0a1afc77a0ad47fefd1788cd58da643b45d2357c4a6842ff93b6e88b6e,Pony,7/12/16
4e88d4d6ad6d581ec37c3597f6db8019,e19537ed15d8a95967031ad7e0b309bc693bd5b5329996c5e1e41d95f531c6ab,Pony,7/12/16
3e7541a41b84046e4994f660bda5dadc,4db6052a91224fc31a086933d0c88ab5c9454cf4ba3f2e7412536ec27415eb5d,Pony,7/12/16
3bfc4c70be70456d607c7fdc054f7252,19ad67be98c23bd8f10307fef975bb097894cc8f119132dc73ce364966678b8a,Pony,7/12/16
4d0829e6c17c127d37a6ac6417787504,4d073f307de354580f8c3aaad23c36f8232924bf13328455546c20ebe14bfbde,H1N1,7/12/16
b8b13f5b9fb54017b3a4b54cb0fc97c4,4f2b5016467f1aca55646e6f78febbb566d42c478a93e505bd7a0c3c07dd7307,H1N1,7/12/16
1265be272d9f4d37f34c0702c6841fb2,,H1N1,7/12/16
ae4145a0a4859d5ab56b143adb148ee9,f2a509012a3a2cad52538e4589cea3f8c715543b777d257264291756fa0e5a72,Nymaim,7/12/16
90e4d03aff298fca4641acda4e6493f2,728791044e1d19113a7d894771d1919ff657c80aca425a404f20573972d5fcd1,Nymaim,7/12/16
4cadf61e96c2d62292320c556fd34fe6,34eb0c91ff39e09a4f9e07777949b00b8289f739f570cc74e991d2d591d5e08f,Nymaim,7/12/16
96daa23d7723f8f04690bb93642a9bae,f983ba24d259b4afac4451f7036e7636f6a35df175c6f7302e309ea7daab45ab,Andromeda,7/12/16
d783195714e10dc0dcd61e877821c8ff,797717b96a3422d27b68365b4d54ebe9568b7b705d31bdc745f72b40b778c1bb,ISFB/Gozi,7/12/16
88ed077e12a8109933472ce6ca6a0296,2b777ec1b28349998fed7a0cadb8034208efa5ddb2bcb0d10b063ea0cfef4ccc,Dyre,7/12/16
ddebcf8183b9b8082a016aa646f899bb,3355ba1d39db2642e6b7f50944481c668b6a95ce9e7a10f40f817284b706b5b4,Dyre,7/12/16
46d84fb13afaab16b15322e52cd73b48,857ac93ea68f74636be147e264e0803e0921341a372b1b5711c7c541555abb82,Dyre,7/12/16
d6c0e93fce69f0e16ef11bc2e285be55,85b523825c7a1ec3da4621ae01bca7dab592663f62eb0b0bcb9928818c87d4f9,Dyre,7/12/16
