# Me and Mr. Robot: Tracking the Actor Behind the MAN1 Crypter,,
#ip address, description, date
162.244.32.157,Nymaim/Gozi Module BackConnect Server,7/12/16
37.59.66.231,Andromeda,7/12/16
107.161.199.59,Dyre,7/12/16
107.181.174.68,Dyre,7/12/16
109.195.2.150,Dyre,7/12/16
109.196.1.13,Dyre,7/12/16
118.179.219.210,Dyre,7/12/16
132.255.212.105,Dyre,7/12/16
134.249.63.46,Dyre,7/12/16
150.129.49.11,Dyre,7/12/16
154.73.100.124,Dyre,7/12/16
154.73.140.26,Dyre,7/12/16
158.255.255.87,Dyre,7/12/16
172.242.228.68,Dyre,7/12/16
173.185.166.94,Dyre,7/12/16
173.252.50.124,Dyre,7/12/16
176.106.122.32,Dyre,7/12/16
176.109.58.78,Dyre,7/12/16
176.120.201.9,Dyre,7/12/16
176.56.24.229,Dyre,7/12/16
178.136.123.22,Dyre,7/12/16
178.168.109.92,Dyre,7/12/16
178.18.172.215,Dyre,7/12/16
178.219.10.23,Dyre,7/12/16
178.22.222.89,Dyre,7/12/16
179.49.117.33,Dyre,7/12/16
181.143.223.10,Dyre,7/12/16
181.143.49.146,Dyre,7/12/16
181.174.76.17,Dyre,7/12/16
181.189.152.131,Dyre,7/12/16
184.164.97.60,Dyre,7/12/16
185.31.33.98,Dyre,7/12/16
185.46.217.70,Dyre,7/12/16
185.49.68.145,Dyre,7/12/16
186.42.215.214,Dyre,7/12/16
186.46.185.174,Dyre,7/12/16
188.123.34.192,Dyre,7/12/16
188.123.34.203,Dyre,7/12/16
188.255.236.227,Dyre,7/12/16
188.255.241.22,Dyre,7/12/16
190.111.20.50,Dyre,7/12/16
190.151.95.243,Dyre,7/12/16
190.215.141.163,Dyre,7/12/16
190.63.152.74,Dyre,7/12/16
193.189.77.76,Dyre,7/12/16
194.12.117.68,Dyre,7/12/16
194.28.190.146,Dyre,7/12/16
194.28.190.167,Dyre,7/12/16
194.28.190.183,Dyre,7/12/16
194.28.190.84,Dyre,7/12/16
194.28.190.86,Dyre,7/12/16
194.28.190.88,Dyre,7/12/16
194.28.190.99,Dyre,7/12/16
194.28.191.144,Dyre,7/12/16
194.28.191.213,Dyre,7/12/16
195.206.254.15,Dyre,7/12/16
195.206.255.131,Dyre,7/12/16
195.34.206.204,Dyre,7/12/16
195.34.239.93,Dyre,7/12/16
196.2.10.17,Dyre,7/12/16
197.231.198.234,Dyre,7/12/16
197.254.104.166,Dyre,7/12/16
201.187.95.250,Dyre,7/12/16
203.189.148.116,Dyre,7/12/16
212.109.14.145,Dyre,7/12/16
212.182.101.2,Dyre,7/12/16
212.37.81.96,Dyre,7/12/16
212.62.58.238,Dyre,7/12/16
212.69.14.89,Dyre,7/12/16
212.89.237.65,Dyre,7/12/16
213.111.243.60,Dyre,7/12/16
213.87.54.111,Dyre,7/12/16
217.12.59.238,Dyre,7/12/16
217.23.194.237,Dyre,7/12/16
217.30.78.174,Dyre,7/12/16
31.28.115.88,Dyre,7/12/16
31.40.1.32,Dyre,7/12/16
31.41.90.230,Dyre,7/12/16
31.42.170.118,Dyre,7/12/16
37.232.185.114,Dyre,7/12/16
37.57.101.221,Dyre,7/12/16
38.124.169.163,Dyre,7/12/16
41.191.118.234,Dyre,7/12/16
41.203.118.202,Dyre,7/12/16
41.215.182.109,Dyre,7/12/16
41.75.67.249,Dyre,7/12/16
41.75.67.80,Dyre,7/12/16
41.75.68.226,Dyre,7/12/16
41.75.68.242,Dyre,7/12/16
41.77.130.160,Dyre,7/12/16
46.143.196.142,Dyre,7/12/16
46.149.253.52,Dyre,7/12/16
46.151.48.149,Dyre,7/12/16
46.151.48.184,Dyre,7/12/16
46.151.48.97,Dyre,7/12/16
46.151.49.128,Dyre,7/12/16
46.16.111.158,Dyre,7/12/16
46.167.219.231,Dyre,7/12/16
46.175.23.130,Dyre,7/12/16
46.180.147.50,Dyre,7/12/16
46.37.205.163,Dyre,7/12/16
46.44.28.44,Dyre,7/12/16
5.255.166.200,Dyre,7/12/16
51.254.98.180,Dyre,7/12/16
62.122.102.105,Dyre,7/12/16
62.122.69.137,Dyre,7/12/16
62.122.69.151,Dyre,7/12/16
62.122.69.159,Dyre,7/12/16
62.122.69.172,Dyre,7/12/16
62.182.33.16,Dyre,7/12/16
62.233.252.206,Dyre,7/12/16
62.233.252.247,Dyre,7/12/16
67.206.96.30,Dyre,7/12/16
67.206.97.238,Dyre,7/12/16
67.207.228.144,Dyre,7/12/16
67.219.166.113,Dyre,7/12/16
69.118.144.195,Dyre,7/12/16
69.146.233.162,Dyre,7/12/16
69.9.204.37,Dyre,7/12/16
75.134.44.251,Dyre,7/12/16
77.104.206.150,Dyre,7/12/16
77.234.235.48,Dyre,7/12/16
77.85.204.114,Dyre,7/12/16
77.95.192.36,Dyre,7/12/16
78.109.34.34,Dyre,7/12/16
78.58.131.116,Dyre,7/12/16
78.8.174.25,Dyre,7/12/16
80.234.34.137,Dyre,7/12/16
80.87.219.35,Dyre,7/12/16
83.168.164.18,Dyre,7/12/16
83.241.176.230,Dyre,7/12/16
84.16.54.22,Dyre,7/12/16
84.16.55.12,Dyre,7/12/16
84.16.55.122,Dyre,7/12/16
84.237.229.49,Dyre,7/12/16
85.192.165.229,Dyre,7/12/16
85.66.249.207,Dyre,7/12/16
87.116.153.216,Dyre,7/12/16
87.248.158.109,Dyre,7/12/16
88.208.22.210,Dyre,7/12/16
89.189.174.40,Dyre,7/12/16
89.250.145.129,Dyre,7/12/16
