# Me and Mr. Robot: Tracking the Actor Behind the MAN1 Crypter,,
Url,Description,Date added
o3qz25zwu4or5mak[.]tor2web[.]org/gate.php,Chanitor,7/12/16
xdndo2okt43cjx44[.]tor2web.blutmagie[.]de/gate.php,Chanitor,7/12/16
xdndo2okt43cjx44[.]tor2web[.]fi/gate.php,Chanitor,7/12/16
xdndo2okt43cjx44[.]tor2web[.]org/gate.php,Chanitor,7/12/16
um6fsdil5ecma5kf[.]tor2web.blutmagie[.]de/gate.php,Chanitor,7/12/16
mps23[.]ru/libraries/fof/controller/1304.exe,Chanitor,7/12/16
buloftoty[.]com/sl/gate.php,Chanitor,7/12/16
buloftoty[.]com/sl/gate.php,Chanitor,7/12/16
letatandone[.]ru/sl/gate.php,Chanitor,7/12/16
nkdoscqnp3myjiyr.onion[.]to/sl/gate.php,Chanitor,7/12/16
buzines24[.]ru/source/pm.dll,Chanitor,7/12/16
buzines24[.]ru/source/inst1.exe,Chanitor,7/12/16
hartwelstay[.]com/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
weltfarystar[.]com/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
rewdepehat[.]ru/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
uldryledda[.]ru/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
uldfiparevent[.]ru/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
roldinglygo[.]ru/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
perundmaheg[.]ru/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
velyama[.]com/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
shumines[.]com/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
ceglolu[.]com/stats/00/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
ceglolu[.]com/stats/02/counter/0000003A/56EB9C2B,Vawtrak,7/12/16
dunella[.]net/upd/58?id=1458281515&o=4&n=5,Vawtrak,7/12/16
greatcountrygor[.]ru/stats/00/counter/0000006E/56EB9C2B,Vawtrak,7/12/16
firstforestmonth[.]ru/stats/00/counter/0000006E/56EB9C2B,Vawtrak,7/12/16
hornetwart[.]ru/stats/00/counter/0000006E/56EB9C2B,Vawtrak,7/12/16
weronpalace[.]ru/stats/00/counter/0000006E/56EB9C2B,Vawtrak,7/12/16
westnerthgom[.]ru/stats/00/counter/0000006E/56EB9C2B,Vawtrak,7/12/16
