# C2 hostnames used by New Ursnif Variant,,
#hostnames,Description,Date added
creatortherefore.cn,Ursnif C2,6/7/16
goinumder.su,Ursnif C2,6/7/16
goyanok.at,Ursnif C2,6/7/16
hothegivforsuffer.cn,Ursnif C2,6/7/16
hulivam.at,Ursnif C2,6/7/16
justiceseasfriends.cn,Ursnif C2,6/7/16
lopertopgo.su,Ursnif C2,6/7/16
mid100.at,Ursnif C2,6/7/16
nexpoo.at,Ursnif C2,6/7/16
noopex.at,Ursnif C2,6/7/16
outaplaceshave.cn,Ursnif C2,6/7/16
pergozip.at,Ursnif C2,6/7/16
therepalon.su,Ursnif C2,6/7/16
trepeatedandequal.cn,Ursnif C2,6/7/16
