# C2 URLs used by New Ursnif Variant,,
#Url,Description,Date added
creatortherefore.cn/krp3cmg/images/,Ursnif C2,6/7/16
goinumder.su/krp3cmg/images/,Ursnif C2,6/7/16
goyanok.at/krp3cmg/images/,Ursnif C2,6/7/16
hothegivforsuffer.cn/krp3cmg/images/,Ursnif C2,6/7/16
hulivam.at/krp3cmg/images/,Ursnif C2,6/7/16
justiceseasfriends.cn/krp3cmg/images/,Ursnif C2,6/7/16
lopertopgo.su/krp3cmg/images/,Ursnif C2,6/7/16
mid100.at/krp3cmg/images/,Ursnif C2,6/7/16
nexpoo.at/krp3cmg/images/,Ursnif C2,6/7/16
noopex.at/krp3cmg/images/,Ursnif C2,6/7/16
outaplaceshave.cn/krp3cmg/images/,Ursnif C2,6/7/16
pergozip.at/krp3cmg/images/,Ursnif C2,6/7/16
therepalon.su/krp3cmg/images/,Ursnif C2,6/7/16
trepeatedandequal.cn/krp3cmg/images/,Ursnif C2,6/7/16
