# Master list of hostnames in all Fidelis Cybersecurity blogs and FTAs,,
#Hostname,Description,Date added
rsojnear.ru,Vawtrak C2 in Config,8/14/2016
dmugmwbu.ru,Vawtrak C2 in Config,8/14/2016
kmosszts.ru,Vawtrak C2 in Config,8/14/2016
xdpnchon.ru,Vawtrak C2 in Config,8/14/2016
hstqothv.ru,Vawtrak C2 in Config,8/14/2016
xafmolog.ru,Vawtrak C2 in Config,8/14/2016
hvnmwvdt.ru,Vawtrak C2 in Config,8/14/2016
gdxwlrat.ru,Vawtrak C2 in Config,8/14/2016
jhxrkeuh.ru,Vawtrak C2 in Config,8/14/2016
sgtxgkbi.ru,Vawtrak C2 in Config,8/14/2016
hzvmnpug.ru,Vawtrak C2 in Config,8/14/2016
nevlomzj.ru,Vawtrak C2 in Config,8/14/2016
ybqojmpa.ru,Vawtrak C2 in Config,8/14/2016
qkgpedwe.ru,Vawtrak C2 in Config,8/14/2016
xyigqlfc.ru,Vawtrak C2 in Config,8/14/2016
ttliiubl.ru,Vawtrak C2 in Config,8/14/2016
qrqlyhfc.ru,Vawtrak C2 in Config,8/14/2016
enhicefv.ru,Vawtrak C2 in Config,8/14/2016
gffpkdhftg.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
uftbacu.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
dvusepghqm.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
npmmeiuxek.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
odlbzv.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
skuuiz.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
bgfnloc.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
koiwjesyz.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
naagdoisa.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
onndutoiys.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
bfevqjozap.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
bmlarlfqco.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
fevxeta.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
fobrsvvqz.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
mbpskt.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
mpfpgjf.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
oscvkeqg.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
sagchixhv.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
xebxaidld.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
dngtejhj.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
dosluaxap.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
glxpljmuv.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
iyzxwcki.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
krxolxmi.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
orahwg.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
oubboyft.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
pimdzgov.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
ynftos.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
fhouwwwp.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
phwanzr.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
qrkehvc.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
szwpcp.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
wchszwypr.hopto.org,Dynamic DNS Redirect used by Angler,12/23/15
ykdvjvsrb.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
yskivegvvb.ddnsking.com,Dynamic DNS Redirect used by Angler,12/23/15
inocnation.com,Domain used by INOCNATION campaign,12/15/15
mail.cbppnews.com,Hostname used by INOCNATION campaign,12/15/15
bbm2.25u.com,FTA-1021 Dersubi Research,3/19/11
bm2.network-sec.net,FTA-1021 Dersubi Research,3/19/11
firefox.dyndns-free.com,FTA-1021 Dersubi Research,10/10/11
gw.kmwweg.de,FTA-1021 Dersubi Research,12/23/11
gw1.kmwweg.de,FTA-1021 Dersubi Research,12/23/11
gwks.kmwweg.de,FTA-1021 Dersubi Research,1/9/12
ibm2.mail-signin.com,FTA-1021 Dersubi Research,0319/2011 
isacat01.gicp.net,FTA-1021 Dersubi Research,6/27/11
kb.xxuz.com,FTA-1021 Dersubi Research,3/19/11
moinia.eicp.net,FTA-1021 Dersubi Research,11/10/11
mykl.sytes.net,FTA-1021 Dersubi Research,3/16/11
sheisme42.jetos.com,FTA-1021 Dersubi Research,3/19/11
spx.812341.com,FTA-1021 Dersubi Research,10/12/11
updata.suroot.com,FTA-1021 Dersubi Research,10/24/11
update.trendmicroa.com,FTA-1021 Dersubi Research,1/9/12
foundingcast.com,Vawtrak,5/12/16
dringeraout.com,Vawtrak,5/12/16
broilerona.com,Vawtrak,5/12/16
bookeranto.com,Vawtrak,5/12/16
vineriadana.com,Vawtrak,5/12/16
greyscrolling.com,Vawtrak,5/12/16
solidarepapero.com,Vawtrak,5/12/16
