# Master list of all IPs in Fidelis Cybersecurity FTAs and Blogs,,
IP address,description,date added
85.143.217.24,Shadowed redirect IP used by Angler,2/16/2016
188.227.74.155,Shadowed redirect IP used by Angler,2/2/2016
188.227.72.71,Shadowed redirect IP used by Angler,1/29/2016
188.227.72.137,Shadowed redirect IP used by Angler,1/29/2016
85.93.0.32,EITest Redirect used by Angler,1/29/2016
85.143.217.191,Shadowed redirect IP used by Angler,12/23/2015
136.243.228.193,Landing page IP used by Angler,12/17/2015
136.243.228.194,Landing page IP used by Angler,12/17/2015
136.243.228.195,Landing page IP used by Angler,12/17/2015
136.243.228.196,Landing page IP used by Angler,12/17/2015
146.120.89.127,Landing page IP used by Angler,12/17/2015
146.120.89.138,Landing page IP used by Angler,12/17/2015
146.185.243.4,Landing page IP used by Angler,12/17/2015
146.185.243.9,Landing page IP used by Angler,12/17/2015
149.202.236.187,Landing page IP used by Angler,12/17/2015
151.248.122.71,Landing page IP used by Angler,12/17/2015
158.69.103.245,Landing page IP used by Angler,12/17/2015
158.69.103.246,Landing page IP used by Angler,12/17/2015
158.69.31.134,Landing page IP used by Angler,12/17/2015
158.69.31.135,Landing page IP used by Angler,12/17/2015
158.69.6.44,Landing page IP used by Angler,12/17/2015
158.69.6.46,Landing page IP used by Angler,12/17/2015
158.69.6.47,Landing page IP used by Angler,12/17/2015
162.252.84.111,Landing page IP used by Angler,12/17/2015
162.252.84.112,Landing page IP used by Angler,12/17/2015
162.252.84.113,Landing page IP used by Angler,12/17/2015
162.254.150.42,Landing page IP used by Angler,12/17/2015
162.254.150.43,Landing page IP used by Angler,12/17/2015
162.254.150.44,Landing page IP used by Angler,12/17/2015
162.254.150.45,Landing page IP used by Angler,12/17/2015
167.114.189.108,Landing page IP used by Angler,12/17/2015
178.20.159.56,Landing page IP used by Angler,12/17/2015
178.20.159.63,Landing page IP used by Angler,12/17/2015
178.20.159.71,Landing page IP used by Angler,12/17/2015
178.20.159.94,Landing page IP used by Angler,12/17/2015
